# long, lat, r, g, b
23.6571,87.9429,119,166,205
24.6857,87.9429,119,166,205
25.7143,87.9429,119,166,205
26.7429,87.9429,119,166,205
27.7714,87.9429,119,166,205
28.8,87.9429,119,166,205
29.8286,87.9429,119,166,205
30.8571,87.9429,119,166,205
31.8857,87.9429,119,166,205
32.9143,87.9429,119,166,205
33.9429,87.9429,119,166,205
34.9714,87.9429,119,167,205
36,87.9429,119,166,205
37.0286,87.9429,119,166,205
38.0571,87.9429,119,166,205
39.0857,87.9429,119,166,205
40.1143,87.9429,119,166,205
41.1429,87.9429,119,166,205
42.1714,87.9429,119,166,205
43.2,87.9429,119,166,205
44.2286,87.9429,119,167,205
45.2571,87.9429,119,167,205
46.2857,87.9429,119,167,205
47.3143,87.9429,119,167,205
48.3429,87.9429,119,167,205
49.3714,87.9429,119,167,205
50.4,87.9429,119,167,205
51.4286,87.9429,120,167,205
52.4571,87.9429,120,167,205
53.4857,87.9429,120,167,205
54.5143,87.9429,120,167,205
55.5429,87.9429,120,167,205
56.5714,87.9429,120,167,206
57.6,87.9429,120,167,206
58.6286,87.9429,120,167,206
59.6571,87.9429,122,168,206
60.6857,87.9429,122,168,206
